,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,,,,,,,,,
μAを変化させる,,,,,,,,,,,,,,,
,μA,μB,μC,λA,λB,λC,→,μA,μBC,λA,λBC,シミュレーション(区間),シミュレーション(平均),解析,相対誤差
,1/10,1/15,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.164054192,1/0.05,1/0.1,"[0.01534085836487781,0.016180475870003718]",0.015760667,0.015096396,-0.042147421
,1/10,1/16,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.16004957,1/0.05,1/0.1,"[0.015215387832012456,0.01606362701623263]",0.015639507,0.014593185,-0.066902529
,1/10,1/17,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.156516216,1/0.05,1/0.1,"[0.014732596144151976,0.015608140575679875]",0.015170368,0.014151197,-0.067181682
,1/10,1/18,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.153375564,1/0.05,1/0.1,"[0.014006682453462876,0.014813909751384807]",0.014410296,0.013759988,-0.045128017
,1/10,1/19,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.150565592,1/0.05,1/0.1,"[0.01396762342981321,0.015016349405710382]",0.014491986,0.013411346,-0.07456811
,1/10,1/20,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.148036687,1/0.05,1/0.1,"[0.013744355848020688,0.014726745066024168]",0.01423555,0.013098733,-0.079857637
,,,,,,,,,?,,,,,,
λAを変化させる,,,,,,,,,,,,,,,
,1/10,1/10,1/10,1/0.01,1/0.1,1/0.1,,1/10,0.196097035,1/0.005,1/0.1,"[0.010528154641205182,0.011363035604692021]",0.010945595,0.013517851,0.235003775
,1/10,1/10,1/10,1/0.05,1/0.1,1/0.1,,1/10,0.196097035,1/0.025,1/0.1,"[0.014733128281616124,0.015851797594111296]",0.015292463,0.016055846,0.049918895
,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.196097035,1/0.05,1/0.1,"[0.0187343967374665,0.0195388732384976]",0.019136635,0.019402673,0.01390204
,1/10,1/10,1/10,1/0.2,1/0.1,1/0.1,,1/10,0.196097035,1/0.1,1/0.1,"[0.026749125112226976,0.02778415024038057]",0.027266638,0.025374049,-0.069410431
,1/10,1/10,1/10,1/0.3,1/0.1,1/0.1,,1/10,0.196097035,1/0.15,1/0.1,"[0.03493336761688807,0.03620470634114812]",0.035569037,0.03141934,-0.116666
,1/10,1/10,1/10,1/0.4,1/0.1,1/0.1,,1/10,0.196097035,1/0.2,1/0.1,"[0.0431126476575409,0.04438506598486386]",0.043748857,0.037338299,-0.146530874
,1/10,1/10,1/10,1/0.5,1/0.1,1/0.1,,1/10,0.196097035,1/0.25,1/0.1,"[0.05143437869958088,0.0527764849451858]",0.052105432,0.043136562,-0.172129276
,,,,,,,,,,,,,,,
λBを変化させる,,,,,,,,,,,,,,,
,1/10,1/10,1/10,1/0.1,1/0.01,1/0.1,,1/10,0.197833585,1/0.05,18.1168983,"[0.01516124396084749,0.015949304211195173]",0.015555274,0.013657377,-0.122009852
,1/10,1/10,1/10,1/0.1,1/0.05,1/0.1,,1/10,0.19705615,1/0.05,13.32263295,"[0.016689231331920514,0.017545363014325733]",0.017117297,0.016134009,-0.057444145
,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.196097035,1/0.05,1/0.1,"[0.0187343967374665,0.0195388732384976]",0.019136635,0.019402673,0.01390204
,1/10,1/10,1/10,1/0.1,1/0.2,1/0.1,,1/10,0.194219481,1/0.05,6.656348825,"[0.023408226981532325,0.02400628170064955]",0.023707254,0.025210335,0.063401701
,1/10,1/10,1/10,1/0.1,1/0.3,1/0.1,,1/10,0.192393564,1/0.05,4.977380078,"[0.02934185800019861,0.030225032632084557]",0.029783445,0.031078119,0.043469567
,1/10,1/10,1/10,1/0.1,1/0.4,1/0.1,,1/10,0.190616412,1/0.05,3.303968819,"[0.0329954950339759,0.03377555190646319]",0.033385523,0.042800722,0.282014394
,1/10,1/10,1/10,1/0.1,1/0.5,1/0.1,,1/10,0.188885408,1/0.05,3.295130245,"[0.03727138235189325,0.038351693029470606]",0.037811538,0.042383173,0.120905832
